mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.313121318817139,2.212842630516865,0.4245058536529541,0.06089343048548683,0.8,0.05,6,1,100,75,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 75, 'subsample': 0.8}",0.42080378250591016,0.24045801526717558,0.17159763313609466,0.02702702702702703,0.33884297520661155,0.23974588662856378,0.13601191082815323,23,0.8848167539267016,0.8172690763052208,0.7575516693163752,0.7274001401541695,0.7189826302729528,0.781204053995084,0.062228738436431834
5.594216346740723,2.724190924980943,0.4876217842102051,0.11748960006720292,0.8,0.05,6,1,100,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 100, 'subsample': 0.8}",0.4562647754137116,0.2633587786259542,0.21301775147928995,0.08648648648648649,0.3677685950413223,0.2773792774093529,0.12723937139953428,18,0.9493891797556719,0.8875502008032129,0.8394276629570747,0.8072880168185004,0.7971464019851117,0.8561602924639142,0.05626379165613958
6.067580795288086,3.5334000499094067,0.05618042945861816,0.7624545207965706,0.8,0.05,6,1,100,125,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 125, 'subsample': 0.8}",0.4988179669030733,0.31297709923664124,0.2603550295857988,0.14594594594594595,0.45867768595041325,0.33535474552437455,0.12956093715376796,8,0.9720767888307156,0.9166666666666666,0.8918918918918919,0.861948142957253,0.8461538461538461,0.8977474673000746,0.044408479536282866
6.192800998687744,3.3415284453985272,0.5295197010040283,0.1477536138301956,0.8,0.05,6,1,100,150,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 150, 'subsample': 0.8}",0.5460992907801419,0.35877862595419846,0.33727810650887574,0.21081081081081082,0.5041322314049587,0.39141981309179713,0.1210340557482368,4,0.9825479930191972,0.9497991967871486,0.9141494435612083,0.8969866853538893,0.8765508684863523,0.9240068374415591,0.03787251911190482
6.73913197517395,3.6342051493135554,0.44895567893981936,0.08538545549593214,0.8,0.05,6,1,100,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 200, 'subsample': 0.8}",0.5815602836879432,0.4122137404580153,0.4970414201183432,0.23783783783783785,0.6198347107438017,0.4696975985691883,0.1362831170327174,1,0.9947643979057592,0.9799196787148594,0.9403815580286169,0.9320252277505255,0.9193548387096774,0.9532891402218876,0.028981646092506835
11.141766166687011,4.3947678704907736,0.901421308517456,0.12087572231299472,0.8,0.05,6,1,200,75,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'scale_pos_weight': 75, 'subsample': 0.8}",0.2907801418439716,0.16412213740458015,0.14201183431952663,0.016216216216216217,0.30578512396694213,0.18378309075024737,0.106341820036264,40,0.9633507853403142,0.893574297188755,0.8449920508744038,0.810791871058164,0.7797766749379652,0.8584971358799205,0.06462164596214363
10.10328187942505,4.261760161909887,0.4489304542541504,0.7817937312463816,0.8,0.05,6,1,200,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'scale_pos_weight': 100, 'subsample': 0.8}",0.3333333333333333,0.183206106870229,0.15976331360946747,0.05405405405405406,0.3181818181818182,0.2097077252097804,0.10437889173486782,30,0.9825479930191972,0.9437751004016064,0.9054054054054054,0.8766643307638402,0.8492555831265509,0.91152968254332,0.047359329342890985
9.358667039871216,4.487962082396909,0.8483437061309814,0.07425530307795894,0.8,0.05,6,1,200,125,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'scale_pos_weight': 125, 'subsample': 0.8}",0.375886524822695,0.24427480916030533,0.1834319526627219,0.0972972972972973,0.3512396694214876,0.2504260506729014,0.10380575932941942,22,0.9912739965095986,0.9728915662650602,0.9411764705882353,0.9250175192711984,0.8951612903225806,0.9451041685913346,0.0341086026150622
9.537471628189087,4.507028190421912,0.8051306724548339,0.06175287917639573,0.8,0.05,6,1,200,150,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'scale_pos_weight': 150, 'subsample': 0.8}",0.39952718676122934,0.22519083969465647,0.20118343195266272,0.12972972972972974,0.371900826446281,0.26550640291691185,0.10342092445319391,20,0.9982547993019197,0.9859437751004017,0.9546899841017488,0.9439383321653819,0.9280397022332506,0.9621733185805406,0.02615540725600096
8.674556303024293,3.725109211982194,0.7836599826812745,0.034400185953686824,0.8,0.05,6,1,200,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'scale_pos_weight': 200, 'subsample': 0.8}",0.458628841607565,0.33969465648854963,0.27218934911242604,0.14594594594594595,0.4380165289256198,0.33089506441602135,0.1144734871025669,9,1.0,0.9949799196787149,0.9809220985691574,0.9712683952347583,0.955955334987593,0.9806251496940446,0.01598549990452243
